town,pop
"Stockdale, PA",500
"Stockdale, TX",1596
"Stockett, MT",1
"Stockholm, ME",1
"Stockholm, NJ",1
"Stockholm, SD",107
"Stockholm, WI",66
"Stockport, IA",290
"Stockton, AL",1
"Stockton, CA",307072
"Stockton, GA",1
"Stockton, IA",197
"Stockton, IL",1763
"Stockton, KS",1297
"Stockton, MD",1
"Stockton, MO",1879
"Stockton, NJ",519
"Stockton, NY",1
"Stockton, UT",647
"Stockton Springs, ME",1
"Stockville, NE",24
"Stoddard, NH",1
"Stoddard, WI",826
"Stokes, NC",1
"Stokesdale, NC",5336
"Stone, ID",1
"Stone, KY",1
"Stone Creek, OH",178
"Stone Harbor, NJ",833
"Stone Lake, WI",1
"Stone Mountain, GA",6328
"Stone Park, IL",4883
"Stone Ridge, NY",1
"Stoneboro, PA",1001
"Stonefort, IL",294
"Stonega, VA",1
"Stoneham, CO",1
"Stoneham, MA",1
"Stoneville, NC",1031
"Stoneville, SD",1
"Stonewall, LA",2188
"Stonewall, MS",1021
"Stoney Fork, KY",1
"Stonington, CT",900
"Stonington, IL",880
"Stonington, ME",1
"Stony Bottom, WV",1
"Stony Brook, NY",1
"Stony Creek, NY",1
"Stony Creek, VA",188
"Stony Point, NC",1
"Stony Point, NY",1
"Stonyford, CA",1
"Storden, MN",215
"Storm Lake, IA",10773
"Stormville, NY",1
"Storrs Mansfield, CT",1
"Story, AR",1
"Story, WY",1
"Story City, IA",3410
"Stotesbury, MO",18
"Stotts City, MO",220
"Stoughton, MA",1
"Stoughton, WI",13134
"Stout, OH",1
"Stoutland, MO",192
"Stouts Mills, WV",1
"Stoutsville, MO",46
"Stoutsville, OH",558
"Stovall, GA",1
"Stovall, MS",1
"Stover, MO",1075
"Stow, MA",1
"Stow, OH",34711
"Stowe, VT",1
"Stoystown, PA",333
"Strabane, PA",1
"Strafford, MO",2340
"Strafford, NH",1
"Strafford, VT",1
"Strandburg, SD",71
"Strandquist, MN",68
"Strang, NE",28
"Strang, OK",88
"Strange Creek, WV",1
"Strasburg, CO",1
"Strasburg, IL",445
"Strasburg, ND",385
"Strasburg, OH",2678
"Strasburg, PA",2939
"Strasburg, VA",6583
"Stratford, CA",1
"Stratford, CT",1
"Stratford, IA",718
"Stratford, NJ",7001
"Stratford, NY",1
"Stratford, OK",1537
"Stratford, SD",73
"Stratford, TX",2081
"Stratford, WI",1571
"Stratham, NH",1
"Strathcona, MN",44
"Strathmere, NJ",1
"Strathmore, CA",1
"Strattanville, PA",519
"Stratton, CO",654
"Stratton, ME",1
"Stratton, NE",331
"Straughn, IN",217
"Strawberry, AZ",1
"Strawberry Plain, TN",1
"Strawberry Point, IA",1227
"Strawn, IL",96
"Strawn, KS",1
"Strawn, TX",649
"Streamwood, IL",40166
"Streator, IL",13148
"Streeter, ND",166
"Streeter, WV",1
"Streetman, TX",244
"Streetsboro, OH",16272
"Stringer, MS",1
"Stringtown, OK",403
"Stromsburg, NE",1140
"Stronach, MI",1
"Strong, AR",528
"Strong, ME",1
"Strong City, KS",455
"Strong City, OK",47
"Stronghurst, IL",820
"Strongstown, PA",1
"Strongsville, OH",44631
"Stroudsburg, PA",5416
"Strum, WI",1114
"Strunk, KY",1
"Struthers, OH",10293
"Stryker, OH",1308
"Strykersville, NY",1
"Stuart, FL",16623
"Stuart, IA",1589
"Stuart, NE",592
"Stuart, OK",172
"Stuart, VA",1376
"Stuarts Draft, VA",1
"Studio City, CA",1
"Studley, KS",1
"Stumptown, WV",1
"Stumpy Point, NC",1
"Sturbridge, MA",1
"Sturdivant, MO",1
"Sturgeon, MO",911
"Sturgeon Bay, WI",8910
"Sturgeon Lake, MN",406
"Sturgis, KY",1890
"Sturgis, MI",10879
"Sturgis, MS",265
"Sturkie, AR",1
"Sturtevant, WI",6937
"Stuttgart, AR",8945
"Stuyvesant, NY",1
"Subiaco, AR",563
"Sublette, IL",425
"Sublette, KS",1364
"Sublimity, OR",2912
"Subtle, KY",1
"Suburban, NJ",1
"Succasunna, NJ",1
"Success, AR",138
"Success, MO",1
"Suches, GA",1
"Sudan, TX",914
"Sudbury, MA",1
"Sudlersville, MD",472
"Suffern, NY",10948
"Suffield, CT",1
"Suffolk, VA",89273
"Sugar City, CO",253
"Sugar City, ID",1361
"Sugar Creek, MO",3304
"Sugar Grove, IL",9573
"Sugar Grove, NC",1
"Sugar Grove, OH",432
"Sugar Grove, PA",590
"Sugar Grove, VA",1
"Sugar Grove, WV",1
"Sugar Land, TX",88177
"Sugar Run, PA",1
"Sugar Tree, TN",1
"Sugar Valley, GA",1
"Sugarbush Valley, VT",1
"Sugarcreek, OH",2222
"Sugarloaf, PA",1
"Sugartown, LA",1
"Suisun City, CA",1
"Suitland, MD",1
"Sula, MT",1
"Sulligent, AL",1849
"Sullivan, IL",4475
"Sullivan, IN",4124
"Sullivan, MO",7126
"Sullivan, OH",1
"Sullivan, WI",668
"Sullivan, WV",1
"Sullivan City, TX",4194
"Sullivans Island, SC",1936
"Sully, IA",819
"Sulphur, IN",1
"Sulphur, KY",1
"Sulphur, LA",20272
"Sulphur, OK",5081
"Sulphur Bluff, TX",1
"Sulphur Rock, AR",457
"Sulphur Springs, AR",531
"Sulphur Springs, IN",382
"Sulphur Springs, TX",16162
"Sultan, WA",5059
"Sumas, WA",1409
"Sumerco, WV",1
"Sumerduck, VA",1
"Sumiton, AL",2407
"Summer Lake, OR",1
"Summer Shade, KY",1
"Summerdale, AL",1244
"Summerfield, KS",150
"Summerfield, LA",1
"Summerfield, NC",11033
"Summerfield, OH",244
"Summerfield, TX",1
"Summerhill, PA",459
"Summerland, CA",1
"Summerland Key, FL",1
"Summers, AR",1
"Summersville, KY",1
"Summersville, MO",502
"Summersville, WV",3434
"Summerton, SC",966
"Summertown, TN",1
"Summerville, GA",4360
"Summerville, OR",136
"Summerville, PA",514
"Summerville, SC",49323
"Summit, MS",1651
"Summit, NJ",22019
"Summit, NY",1
"Summit, SD",288
"Summit, UT",1
"Summit Hill, PA",2929
"Summit Lake, WI",1
"Summit Point, WV",1
"Summitville, IN",985
"Sumner, GA",402
"Sumner, IA",1998
"Sumner, IL",3167
"Sumner, MI",1
"Sumner, MO",98
"Sumner, NE",228
"Sumner, TX",1
"Sumpter, OR",204
"Sumrall, MS",1728
"Sumter, SC",40723
"Sun City, AZ",2
"Sun City, CA",1
"Sun City, KS",52
"Sun City Center, FL",1
"Sun City West, AZ",1
"Sun Lakes, AZ",1
"Sun Prairie, WI",32820
"Sun River, MT",1
"Sun Valley, CA",1
"Sun Valley, NV",1
"Sunapee, NH",1
"Sunbright, TN",545
"Sunburg, MN",101
"Sunburst, MT",338
"Sunbury, NC",1
"Sunbury, OH",5216
"Sunbury, PA",9571
"Sundance, WY",1279
"Sunderland, MA",1
"Sunderland, MD",1
"Sundown, NY",1
"Sunfield, MI",584
"Sunfish, KY",1
"Sunflower, MS",1049
"Sunman, IN",1044
"Sunmount, NY",1
"Sunny Valley, OR",1
"Sunnyland, IL",1
"Sunnyside, NY",1
"Sunnyside, WA",16411
"Sunnyvale, CA",152771
"Sunol, CA",1
"Sunray, TX",1913
"Sunrise, FL",93734
"Sunrise Beach, MO",473
"Sunrise Beach, TX",1
"Sunriver, OR",1
"Sunset, ME",1
"Sunset, SC",1
"Sunset, TX",1
"Sunset Beach, NC",3902
"Sunshine, LA",1
"Suny Stony Brook, NY",1
"Supai, AZ",1
"Superior, AZ",2999
"Superior, IA",128
"Superior, MT",826
"Superior, NE",1856
"Superior, WI",26475
"Supply, VA",1
"Suquamish, WA",1
"Surf City, NC",2274
"Surfside Beach, SC",4391
"Surgoinsville, TN",1787
"Suring, WI",526
"Surprise, AZ",132677
"Surprise, NY",1
"Surrency, GA",206
"Surrey, ND",1365
"Surry, ME",1
"Surry, NH",1
"Surry, VA",225
"Surveyor, WV",1
"Susank, KS",33
"Susanville, CA",14843
"Susquehanna, PA",1
"Sussex, NJ",2039
"Sussex, WI",10765
"Sutersville, PA",577
"Sutherland, IA",616
"Sutherland, NE",1343
"Sutherland, VA",1
"Sutherland Sprin, TX",1
"Sutherlin, OR",8000
"Sutherlin, VA",1
"Sutter, CA",1
"Sutter, IL",1
"Sutter Creek, CA",2516
"Sutton, ND",1
"Sutton, NE",1411
"Sutton, VT",1
"Suttons Bay, MI",620
"Suwanee, GA",19421
"Svea, MN",1
"Swain, NY",1
"Swaledale, IA",160
"Swampscott, MA",1
"Swan, IA",72
"Swan Lake, MT",1
"Swan Lake, NY",1
"Swan River, MN",1
"Swan Valley, ID",221
"Swanquarter, NC",1
"Swansboro, NC",3173
"Swansea, MA",1
"Swansea, SC",903
"Swanton, MD",1
"Swanton, NE",95
"Swanton, OH",3910
"Swanton, VT",2380
"Swanville, MN",337
"Swanwick, IL",1
"Swarthmore, PA",6239
"Swartz Creek, MI",5557
"Swatara, MN",1
"Swatara, PA",1
"Swayzee, IN",936
"Swea City, IA",516
"Swedesboro, NJ",2602
"Sweeny, TX",3766
"Sweet, ID",1
"Sweet Home, OR",9418
"Sweet Springs, MO",1446
"Sweet Springs, WV",1
"Sweet Valley, PA",1
"Sweet Water, AL",242
"Sweetgrass, MT",1
"Sweetland, WV",1
"Sweetwater, OK",86
"Sweetwater, TN",5933
"Sweetwater, TX",10755
"Swift, MN",1
"Swifton, AR",747
"Swiftwater, PA",1
"Swisher, IA",924
"Swiss, WV",1
"Swisshome, OR",1
"Swissvale, PA",8769
"Switz City, IN",288
"Swoope, VA",1
"Swords Creek, VA",1
"Swormville, NY",1
"Sycamore, GA",654
"Sycamore, IL",17867
"Sycamore, MO",1
"Sycamore, OH",831
"Sycamore, PA",1
"Sykeston, ND",113
"Sykesville, PA",1127
"Sylacauga, AL",12540
"Sylmar, CA",1
"Sylva, NC",2644
"Sylvan Grove, KS",258
"Sylvan Lake, MI",1824
"Sylvan Springs, AL",1509
"Sylvania, AL",1850
"Sylvania, OH",18909
"Sylvester, GA",6064
"Sylvester, TX",1
"Sylvester, WV",149
"Sylvia, KS",213
"Symbol, KY",1
"Symsonia, KY",1
"Syosset, NY",1
"Syracuse, IN",2882
"Syracuse, KS",1705
"Syracuse, MO",171
"Syracuse, NE",2007
"Syracuse, NY",143378
"Syracuse, UT",28407
"Syria, VA",1
"Syringa, VA",1
"T Ville, KY",1
"Tabb, VA",1
"Taberg, NY",1
"Tabiona, UT",169
"Table Grove, IL",399
"Table Rock, NE",260
"Tabor, IA",986
"Tabor, SD",413
"Tabor City, NC",4193
"Tacoma, WA",211277
"Taconic Lake, NY",1
"Taft, CA",9373
"Taft, OH",2
"Taft, OK",244
"Taft, TN",1
"Taft, TX",3023
"Tafton, PA",1
"Taftsville, VT",1
"Taftville, CT",1
"Tahlequah, OK",16741
"Tahoe City, CA",1
"Tahoe Vista, CA",1
"Tahoka, TX",2561
"Taholah, WA",1
"Tahoma, CA",1
"Tahuya, WA",1
"Taiban, NM",1
"Takoma Park, MD",17765
"Talala, OK",277
"Talbert, KY",1
"Talbott, TN",1
"Talbotton, GA",850
"Talco, TX",504
"Talcott, WV",1
"Talcum, KY",1
"Talent, OR",6485
"Talihina, OK",1099
"Talkeetna, AK",1
"Talking Rock, GA",67
"Tall Timbers, MD",1
"Talladega, AL",15451
"Tallahassee, FL",190894
"Tallapoosa, GA",3187
"Tallassee, AL",4759
"Tallassee, TN",1
"Talleyville, DE",1
"Tallmadge, OH",17534
"Tallmansville, WV",1
"Tallula, IL",484
"Talmage, KS",1
"Talmage, NE",240
"Talmage, UT",1
"Talmo, GA",192
"Talmoon, MN",1
"Taloga, OK",303
"Talpa, TX",1
"Tama, IA",2831
"Tamaqua, PA",6797
"Tamarac, FL",65199
"Tamarack, MN",88
"Tamaroa, IL",606
"Tamassee, SC",1
"Tamiment, PA",1
"Tamms, IL",526
"Tamo, AR",1
"Tampa, FL",377165
"Tampa, KS",107
"Tampico, IL",750
"Tamworth, NH",1
"Tamworth, VA",1
"Tanana, AK",258
"Taneytown, MD",6760
"Taneyville, MO",391
"Tangent, OR",1243
"Tangier, IN",1
"Tangier, VA",722
"Tanner, AL",1
"Tanner, WV",1
"Tannersville, NY",512
"Tannersville, PA",1
"Tannersville, VA",1
"Taopi, MN",58
"Taos, NM",5763
"Tapoco, NC",1
"Tappahannock, VA",2386
"Tappan, NY",1
"Tappen, ND",201
"Tar Heel, NC",143
"Tarawa Terrace, NC",1
"Tarboro, NC",10994
"Tarentum, PA",4419
"Tariff, WV",1
"Tariffville, CT",1
"Tarkio, MO",1473
"Tarpley, TX",1
"Tarpon Springs, FL",24867
"Tarrs, PA",1
"Tarrytown, GA",87
"Tarzan, TX",1
"Tarzana, CA",1
"Taswell, IN",1
"Tate, GA",1
"Tateville, KY",1
"Tatum, NM",827
"Tatum, TX",1369
"Taunton, MA",56843
"Taunton, MN",137
"Tavares, FL",15922
"Tavernier, FL",1
"Tawas City, MI",1787
"Taycheedah, WI",1
"Taylor, AL",2393
"Taylor, AR",538
"Taylor, MI",61177
"Taylor, MO",1
"Taylor, MS",372
"Taylor, ND",170
"Taylor, PA",5975
"Taylor, TX",16857
"Taylor, WI",472
"Taylor Ridge, IL",1
"Taylors, SC",1
"Taylors Falls, MN",1016
"Taylors Island, MD",1
"Taylorsville, CA",1
"Taylorsville, GA",215
"Taylorsville, KY",1252
"Taylorsville, MS",1286
"Taylorsville, NC",2100
"Tazewell, GA",1
"Tazewell, TN",2281
"Tazewell, VA",4365
"Tchula, MS",1981
"Tea, SD",5032
"Teaberry, KY",1
"Teachey, NC",432
"Teague, TX",3540
"Teaneck, NJ",1
"Teasdale, UT",1
"Teaticket, MA",1
"Tebbetts, MO",1
"Tecate, CA",1
"Techny, IL",1
"Tecopa, CA",1
"Tecumseh, KS",1
"Tecumseh, MI",8362
"Tecumseh, MO",1
"Tecumseh, NE",1631
"Tecumseh, OK",6666
"Teec Nos Pos, AZ",1
"Tega Cay, SC",9946
"Tekamah, NE",1730
"Tekoa, WA",808
"Tekonsha, MI",705
"Telegraph, TX",1
"Telephone, TX",1
"Telford, PA",4847
"Telford, TN",1
"Tell, TX",1
"Tell City, IN",7323
"Teller, AK",236
"Tellico Plains, TN",941
"Telluride, CO",2444
"Temecula, CA",113054
"Tempe, AZ",182498
"Temperance, MI",1
"Temperanceville, VA",1
"Temple, GA",4378
"Temple, ME",1
"Temple, ND",1
"Temple, NH",1
"Temple, OK",959
"Temple, PA",1
"Temple, TX",73600
"Temple City, CA",36365
"Temple Hills, MD",1
"Templeton, CA",1
"Templeton, IA",349
"Templeton, MA",1
"Templeton, PA",1
"Temvik, ND",1
"Ten Mile, TN",1
"Ten Sleep, WY",250
"Tenafly, NJ",14846
"Tenaha, TX",1161
"Tenants Harbor, ME",1
"Tenino, WA",1819
"Tenmile, OR",1
"Tennerton, WV",1
"Tennessee, IL",110
"Tennessee Colony, TX",1
"Tennessee Ridge, TN",1334
"Tenney, MN",1
"Tennille, GA",1854
"Tennyson, IN",296
"Tensed, ID",121
"Tenstrike, MN",205
"Tequesta, FL",5990
"Tererro, NM",1
"Teresita, MO",1
"Terlingua, TX",1
"Terlton, OK",108
"Termo, CA",1
"Terra Bella, CA",1
"Terrace Heights, WA",1
"Terrace Park, OH",2273
"Terre Haute, IN",60852
"Terre Hill, PA",1397
"Terrell, NC",1
"Terrell, TX",17329
"Terreton, ID",1
"Terril, IA",362
"Terry, LA",1
"Terry, MS",1112
"Terry, MT",609
"Terrytown, LA",1
"Terryville, CT",1
"Tesla, WV",1
"Teterboro, NJ",69
"Teton, ID",714
"Tetonia, ID",280
"Teutopolis, IL",1587
"Tewksbury, MA",1
"Texarkana, AR",30283
"Texarkana, TX",37679
"Texas City, TX",48262
"Texhoma, OK",1
"Texico, IL",1
"Texico, NM",1110
"Texline, TX",518
"Texola, OK",35
"Thacker, WV",1
"Thackerville, OK",473
"Thatcher, AZ",5027
"Thatcher, ID",1
"Thawville, IL",263
"Thaxton, MS",668
"Thaxton, VA",1
"Thayer, IA",56
"Thayer, KS",465
"Thayer, MO",2211
"Thayne, WY",367
"The Bluffs, LA",1
"The Colony, TX",42408
"The Dalles, OR",15572
"The Plains, OH",1
"The Plains, VA",228
"The Rock, GA",1
"The Sea Ranch, CA",1
"The Woodlands, TX",2
"Theilman, MN",2
"Thelma, KY",1
"Theodore, AL",1
"Theresa, NY",813
"Theresa, WI",1207
"Theriot, LA",1
"Thetford Center, VT",1
"Thibodaux, LA",14610
"Thida, AR",1
"Thief River Fall, MN",1
"Thiells, NY",1
"Thomas, OK",1227
"Thomas, WV",562
"Thomasboro, IL",1115
"Thomaston, AL",391
"Thomaston, CT",1
"Thomaston, GA",8962
"Thomaston, ME",1
"Thomasville, AL",4002
"Thomasville, GA",18826
"Thomasville, IL",1
"Thomasville, NC",27030
"Thomasville, PA",1
"Thompson, CT",1
"Thompson, IA",488
"Thompson, MI",1
"Thompson, MO",1
"Thompson, ND",1011
"Thompson, OH",1
"Thompson, PA",269
"Thompson, UT",1
"Thompson Falls, MT",1356
"Thompson Ridge, NY",1
"Thompsons Statio, TN",1
"Thompsontown, PA",682
"Thompsonville, IL",530
"Thompsonville, MI",438
"Thomson, GA",6678
"Thomson, IL",560
"Thomson, NY",1
"Thonotosassa, FL",1
"Thor, IA",179
"Thoreau, NM",1
"Thorn Hill, TN",1
"Thorndale, PA",1
"Thorndale, TX",1293
"Thorndike, ME",1
"Thorne Bay, AK",485
"Thornton, AR",392
"Thornton, CO",136703
"Thornton, IA",406
"Thornton, IL",2461
"Thornton, KY",1
"Thornton, PA",1
"Thornton, TX",527
"Thornton, WA",1
"Thornton, WV",1
"Thorntown, IN",1487
"Thornville, OH",997
"Thornwood, NY",1
"Thorofare, NJ",1
"Thorp, WA",1
"Thorp, WI",1629
"Thorsby, AL",2052
"Thousand Oaks, CA",128888
"Thousand Palms, CA",1
"Thrall, TX",928
"Three Bridges, NJ",1
"Three Churches, WV",1
"Three Forks, MT",1944
"Three Lakes, WI",1
"Three Mile Bay, NY",1
"Three Oaks, MI",1569
"Three Rivers, CA",1
"Three Rivers, MA",1
"Three Rivers, MI",7713
"Three Rivers, TX",1940
"Three Springs, PA",434
"Throckmorton, TX",774
"Thurman, IA",215
"Thurman, OH",1
"Thurmond, NC",1
"Thurmond, WV",5
"Thurston, NE",136
"Tibbie, AL",1
"Tice, FL",1
"Tichnor, AR",1
"Tickfaw, LA",757
"Ticonderoga, NY",1
"Tidewater, OR",1
"Tidioute, PA",657
"Tie Siding, WY",1
"Tierra Amarilla, NM",1
"Tierra Verde, FL",1
"Tieton, WA",1276
"Tiff City, MO",1
"Tiffin, OH",17545
"Tigard, OR",51902
"Tiger, GA",406
"Tigerton, WI",716
"Tigerville, SC",1
"Tightwad, MO",67
"Tijeras, NM",543
"Tilden, NE",933
"Tilden, TX",1
"Tilghman, MD",1
"Tiline, KY",1
"Tillamook, OR",5183
"Tillatoba, MS",1
"Tilleda, WI",1
"Tiller, OR",1
"Tillman, SC",1
"Tillson, NY",1
"Tilly, AR",1
"Tilton, IL",2584
"Tilton, NH",1
"Tiltonsville, OH",1312
"Timber, OR",1
"Timber Lake, SD",489
"Timberlake, NC",1
"Timberlake, VA",1
"Timberline Lodge, OR",1
"Timberville, VA",2640
"Timblin, PA",153
"Timbo, AR",1
"Timewell, IL",1
"Timken, KS",71
"Timmonsville, SC",2376
"Timpas, CO",1
"Timpson, TX",1157
"Tina, MO",151
"Tingley, IA",183
"Tinker Afb, OK",1
"Tinley Park, IL",56831
"Tinnie, NM",1
"Tinsman, AR",52
"Tiny Town, KY",1
"Tioga, LA",1
"Tioga, PA",658
"Tioga, TX",936
"Tioga, WV",1
"Tionesta, PA",439
"Tiplersville, MS",1
"Tippecanoe, IN",1
"Tippecanoe, OH",1
"Tipton, CA",1
"Tipton, IA",3217
"Tipton, IN",5132
"Tipton, KS",206
"Tipton, MI",1
"Tipton, MO",3378
"Tipton, OK",788
"Tiptonville, TN",4349
"Tiptop, VA",1
"Tiro, OH",272
"Tishomingo, MS",336
"Tishomingo, OK",3109
"Tiskilwa, IL",785
"Titonka, IA",448
"Titus, AL",1
"Titusville, FL",46019
"Titusville, NJ",1
"Titusville, PA",5380
"Tiverton, RI",1
"Tivoli, NY",1093
"Tivoli, TX",1
"Toadlena, NM",1
"Toano, VA",1
"Tobaccoville, NC",2609
"Tobias, NE",107
"Tobinsport, IN",1
"Tobyhanna, PA",1
"Toccoa, GA",8412
"Todd, NC",1
"Todd, PA",1
"Toddville, IA",1
"Toddville, MD",1
"Tofte, MN",1
"Togo, MN",1
"Tohatchi, NM",1
"Toivola, MI",1
"Tokeland, WA",1
"Tokio, TX",1
"Tolar, TX",885
"Toledo, IA",2187
"Toledo, IL",1216
"Toledo, OH",278508
"Toledo, OR",3560
"Toledo, WA",738
"Toll Gate, WV",1
"Tolland, CT",1
"Tolland, MA",1
"Tollesboro, KY",1
"Tolleson, AZ",7178
"Tolley, ND",47
"Tollhouse, CA",1
"Tolono, IL",3438
"Tolovana Park, OR",1
"Tolstoy, SD",36
"Toluca, IL",1322
"Toluca Lake, CA",1
"Tom, OK",1
"Tomahawk, WI",3201
"Tomato, AR",1
"Tomball, TX",11643
"Tombstone, AZ",1300
"Tomkins Cove, NY",1
"Tomnolen, MS",1
"Toms Brook, VA",262
"Toms Place, CA",1
"Toms River, NJ",3
"Tonalea, AZ",1
"Tonasket, WA",1013
"Tonawanda, NY",14858
"Toney, AL",1
"Tonganoxie, KS",5326
"Tonica, IL",732
"Tonkawa, OK",3095
"Tonopah, AZ",1
"Tonopah, NV",1
"Tony, WI",106
"Tooele, UT",33762
"Toomsboro, GA",444
"Toomsuba, MS",1
"Toone, TN",339
"Topanga, CA",1
"Topaz, CA",1
"Topeka, IL",71
"Topeka, IN",1203
"Topeka, KS",126808
"Topock, AZ",1
"Toponas, CO",1
"Toppenish, WA",8973
"Topsfield, MA",1
"Topsfield, ME",1
"Topton, NC",1
"Topton, PA",2055
"Torbert, LA",1
"Tornado, WV",1
"Toronto, IA",119
"Toronto, KS",265
"Toronto, OH",4851
"Toronto, SD",205
"Torrance, CA",147195
"Torrey, UT",241
"Torrington, CT",34646
"Torrington, WY",6715
"Toston, MT",1
"Totowa, NJ",10904
"Totz, KY",1
"Toughkenamon, PA",1
"Toulon, IL",1245
"Toutle, WA",1
"Tow, TX",1
"Towaco, NJ",1
"Towanda, IL",475
"Towanda, KS",1427
"Towanda, PA",2850
"Towaoc, CO",1
"Tower, MI",1
"Tower, MN",492
"Tower City, ND",258
"Tower City, PA",1294
"Town And Country, MO",11113
"Town Creek, AL",1069
"Towner, CO",1
"Townley, AL",1
"Townsend, DE",2313
"Townsend, GA",1
"Townsend, MA",1
"Townsend, MT",1978
"Townsend, TN",444
"Townsend, WI",1
"Townsends Inlet, NJ",1
"Townshend, VT",1
"Townville, PA",318
"Townville, SC",1
"Toxey, AL",129
"Tracy, CA",89274
"Tracy, IA",1
"Tracy, MN",2060
"Tracy City, TN",1425
"Tracys Landing, MD",1
"Trade, TN",1
"Traer, IA",1657
"Trafalgar, IN",1182
"Trafford, AL",627
"Trail, MN",46
"Trail, OR",1
"Trail City, SD",1
"Trammel, VA",1
"Tranquillity, CA",1
"Transfer, PA",1
"Transylvania, LA",1
"Traphill, NC",1
"Trappe, MD",1015
"Trapper Creek, AK",1
"Trappist, KY",1
"Traskwood, AR",539
"Traunik, MI",1
"Travelers Rest, SC",5053
"Traverse City, MI",15479
"Travis Afb, CA",1
"Treadway, TN",1
"Treadwell, NY",1
"Treece, KS",1
"Trees, LA",1
"Trego, WI",1
"Trementina, NM",1
"Tremont, IL",2156
"Tremont, MS",464
"Tremonton, UT",8426
"Trempealeau, WI",1618
"Trenary, MI",1
"Trent, SD",235
"Trent, TX",341
"Trenton, AL",1
"Trenton, FL",2089
"Trenton, GA",2255
"Trenton, IL",2652
"Trenton, KY",378
"Trenton, MO",5932
"Trenton, NC",284
"Trenton, ND",1
"Trenton, NE",553
"Trenton, NJ",84056
"Trenton, OH",12762
"Trenton, SC",192
"Trenton, TN",4140
"Trenton, TX",639
"Trenton, UT",512
"Trevett, ME",1
"Trevor, WI",1
"Trevorton, PA",1
"Trexlertown, PA",1
"Treynor, IA",950
"Trezevant, TN",834
"Triadelphia, WV",761
"Triana, AL",529
"Triangle, VA",1
"Tribbey, KY",1
"Tribune, KS",776
"Tridell, UT",1
"Trilla, IL",1
"Trimble, MO",640
"Trimble, TN",622
"Trimont, MN",707
"Trinchera, CO",1
"Trinidad, TX",877
"Trinity, AL",2164
"Trinity, KY",1
"Trinity, NC",6671
"Trinity, TX",2750
"Trinity Center, CA",1
"Trion, GA",1780
"Triplet, VA",1
"Triplett, MO",39
"Triplett, NC",1
"Tripoli, IA",1340
"Tripoli, WI",1
"Tripp, SD",638
"Trivoli, IL",1
"Trophy Club, TX",12166
"Trosper, KY",1
"Trotters, ND",1
"Trotwood, OH",24331
"Troup, TX",1982
"Troupsburg, NY",1
"Trout, LA",1
"Trout, WV",1
"Trout Creek, MI",1
"Trout Creek, MT",1
"Trout Creek, UT",1
"Trout Dale, VA",170
"Trout Lake, WA",1
"Trout Run, PA",1
"Troutdale, OR",16617
"Troutman, NC",2576
"Troutville, VA",431
"Trowbridge, CA",1
"Troy, AL",19191
"Troy, ID",887
"Troy, IL",10093
"Troy, IN",364
"Troy, ME",1
"Troy, MI",83641
"Troy, MO",11862
"Troy, MT",890
"Troy, NC",3414
"Troy, NH",1
"Troy, NY",49702
"Troy, OH",25770
"Troy, PA",1258
"Troy, SC",93
"Troy, TN",1285
"Troy, TX",1915
"Troy, VA",1
"Troy, VT",1
"Troy, WV",1
"Truckee, CA",16391
"True, WV",1
"Trufant, MI",1
"Truman, MN",1058
"Trumansburg, NY",1819
"Trumbull, CT",1
"Trumbull, NE",194
"Truro, IA",487
"Truro, MA",1
"Truscott, TX",1
"Trussville, AL",21422
"Truth Or Consequ, NM",1
"Truxton, MO",95
"Truxton, NY",1
"Tryon, NC",1621
"Tryon, NE",1
"Tryon, OK",503
"Tsaile, AZ",1
"Tualatin, OR",27545
"Tuba City, AZ",1
"Tuckahoe, NY",6615
"Tuckasegee, NC",1
"Tucker, AR",1
"Tucker, GA",1
"Tuckerman, AR",1741
"Tuckerton, NJ",3378
"Tucson, AZ",530706
"Tucumcari, NM",4975
"Tujunga, CA",1
"Tukwila, WA",20033
"Tulare, CA",62779
"Tulare, SD",214
"Tularosa, NM",2912
"Tulelake, CA",991
"Tullos, LA",389
"Tully, NY",863
"Tullytown, PA",1848
"Tulsa, OK",403090
"Tuluksak, AK",1
"Tumbling Shoals, AR",1
"Tumtum, WA",1
"Tunas, MO",1
"Tunbridge, VT",1
"Tunica, MS",968
"Tunnel Hill, GA",876
"Tunnel Hill, IL",1
"Tunnelton, WV",297
"Tununak, AK",1
"Tuolumne, CA",1
"Tupelo, MS",38842
"Tupelo, OK",315
"Tupman, CA",1
"Turbeville, SC",803
"Turbotville, PA",681
"Turin, IA",65
"Turin, NY",230
"Turkey, NC",295
"Turkey, TX",396
"Turkey Creek, KY",1
"Turlock, CA",72796
"Turner, ME",1
"Turner, MI",109
"Turner, MT",1
"Turner, OR",2031
"Turners Falls, MA",1
"Turners Station, KY",1
"Turnersville, TX",1
"Turnertown, TX",1
"Turney, MO",147
"Turrell, AR",575
"Turtle Creek, PA",5221
"Turtle Creek, WV",1
"Turtle Lake, ND",585
"Turtle Lake, WI",1024
"Turtlepoint, PA",1
"Turtletown, TN",1
"Turton, SD",47
"Tuscaloosa, AL",99543
"Tuscarora, MD",1
"Tuscarora, NV",1
"Tuscarora, NY",1
"Tuscola, IL",4391
"Tuscola, TX",740
"Tuscumbia, AL",8434
"Tuscumbia, MO",206
"Tuskahoma, OK",1
"Tuskegee, AL",8722
